Game,School,Year,opp_name,same_conf,outcome,pts,opp_pts,home_game,height_diversity,ethnic_diversity,region_diversity,class_diversity,school_diversity,degree_diversity,experience_with_opponent,experience_in_arena,conference_size,conf_wl,opp_games_played,opponent_win_loss,Coach_Name,Coaching_Years,Coach_Win_Loss_Perc,Coach_NCAA_appear,Team_Comp_Change,Percentage_Dif_Points
24,brown,2009,Cornell,1,-40,45,85,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,28,0.786,Jesse Agel,1,0.517,0,0.6111,-0.888888889
25,brown,2009,Princeton,1,-8,48,56,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,29,0.207,Jesse Agel,1,0.517,0,0.6111,-0.166666667
26,brown,2009,Pennsylvania,1,-10,54,64,0,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,1,8,0.6,31,0.419,Jesse Agel,1,0.517,0,0.6111,-0.185185185
27,brown,2009,Harvard,1,2,61,59,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,30,0.267,Jesse Agel,1,0.517,0,0.6111,0.032786885
28,brown,2009,Dartmouth,1,10,69,59,1,0.165289256,0.595041322,0.611570248,0.694214876,0.462809917,0.628099174,2,13,8,0.6,28,0.357,Jesse Agel,1,0.517,0,0.6111,0.144927536
1,brown,2010,St. Francis (NY),0,4,68,64,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,30,0.333,Jesse Agel,2,0.321,0,0.3684,0.058823529
2,brown,2010,Virginia Tech,0,-14,55,69,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,12,0.642,34,0.559,Jesse Agel,2,0.321,0,0.3684,-0.254545455
3,brown,2010,Rhode Island,0,-21,57,78,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,14,0.631,34,0.676,Jesse Agel,2,0.321,0,0.3684,-0.368421053
4,brown,2010,St. John's (NY),0,-3,76,79,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,16,0.626,34,0.471,Jesse Agel,2,0.321,0,0.3684,-0.039473684
5,brown,2010,Maine,0,13,75,62,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,9,0.583,30,0.3,Jesse Agel,2,0.321,0,0.3684,0.173333333
6,brown,2010,Bryant,0,2,70,68,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,0,0,Jesse Agel,2,0.321,0,0.3684,0.028571429
7,brown,2010,Sciences,0,21,69,48,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,3,0,0,0,0,Jesse Agel,2,0.321,0,0.3684,0.304347826
8,brown,2010,Siena,0,-20,79,99,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,3,10,0.597,35,0.771,Jesse Agel,2,0.321,0,0.3684,-0.253164557
9,brown,2010,Holy Cross,0,-6,79,85,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,8,0.6,32,0.563,Jesse Agel,2,0.321,0,0.3684,-0.075949367
10,brown,2010,Minnesota,0,-36,55,91,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,33,0.667,Jesse Agel,2,0.321,0,0.3684,-0.654545455
11,brown,2010,Providence,0,-16,62,78,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,16,0.626,33,0.576,Jesse Agel,2,0.321,0,0.3684,-0.258064516
12,brown,2010,Kean,0,11,74,63,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,0,0,0,0,Jesse Agel,2,0.321,0,0.3684,0.148648649
13,brown,2010,Sacred Heart,0,-5,78,83,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,31,0.548,Jesse Agel,2,0.321,0,0.3684,-0.064102564
14,brown,2010,American,0,-8,68,76,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,8,0.6,32,0.75,Jesse Agel,2,0.321,0,0.3684,-0.117647059
15,brown,2010,Wagner,0,1,72,71,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,13,11,0.64,30,0.533,Jesse Agel,2,0.321,0,0.3684,0.013888889
16,brown,2010,Army,0,-8,51,59,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,8,0.6,30,0.367,Jesse Agel,2,0.321,0,0.3684,-0.156862745
17,brown,2010,Quinnipiac,0,-13,75,88,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,1,1,11,0.64,31,0.484,Jesse Agel,2,0.321,0,0.3684,-0.173333333
18,brown,2010,Yale,1,9,75,66,0,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,1,8,0.6,28,0.464,Jesse Agel,2,0.321,0,0.3684,0.12
19,brown,2010,Yale,1,-8,63,71,1,0,0.569444444,0.5,0.541666667,0.444444444,0.569444444,2,13,8,0.6,28,0.464,Jesse Agel,2,0.321,0,0.3684,-0.126984127
